Date,AAPL,AMZN,CAT,DUK,GOOG,JNJ,JPM,NUE,PG,XOM,^GSPC
2021-07-19,138.8533935546875,177.47950744628906,186.6911163330078,86.38460540771484,128.2014923095703,145.81980895996094,130.27151489257812,83.7955322265625,123.6548843383789,46.36751937866211,4258.490234375
2021-07-20,142.45999145507812,178.6595001220703,191.17724609375,86.25990295410156,130.033935546875,147.19168090820312,132.7001953125,85.17288970947266,122.9945297241211,46.87853240966797,4323.06005859375
2021-07-21,141.72894287109375,179.25999450683594,193.72372436523438,85.77764129638672,131.52072143554688,148.10043334960938,135.49229431152344,86.45718383789062,122.56305694580078,48.386409759521484,4358.68994140625
2021-07-22,143.0935821533203,181.90150451660156,192.28045654296875,85.57806396484375,132.24281311035156,148.52854919433594,133.78155517578125,87.34131622314453,122.09347534179688,47.8419075012207,4367.47998046875
2021-07-23,144.80914306640625,182.83200073242188,192.6205596923828,86.86687469482422,136.69374084472656,150.11013793945312,133.5245361328125,87.78803253173828,123.85668182373047,47.783267974853516,4411.7900390625
2021-07-26,145.22828674316406,184.99099731445312,193.99951171875,86.95836639404297,138.50735473632812,150.18003845214844,134.41973876953125,90.98014831542969,124.29083251953125,48.98957061767578,4422.2998046875
2021-07-27,143.06434631347656,181.3195037841797,192.96067810058594,88.43842315673828,135.68255615234375,150.87033081054688,134.24249267578125,91.55713653564453,124.79588317871094,48.44506072998047,4401.4599609375
2021-07-28,141.31951904296875,181.51600646972656,194.37643432617188,87.84806060791016,135.2709197998047,150.45091247558594,134.46405029296875,92.50639343261719,122.94404602050781,48.771766662597656,4400.64013671875
2021-07-29,141.96287536621094,179.99600219726562,195.40603637695312,87.8730239868164,135.4286346435547,150.45091247558594,135.61639404296875,96.27550506591797,123.58198547363281,49.366546630859375,4419.14990234375
2021-07-30,142.17730712890625,166.37950134277344,190.06491088867188,87.3990478515625,134.11988830566406,150.46839904785156,134.5349884033203,96.80599212646484,126.01851654052734,48.227256774902344,4395.259765625
